,Data,Nome,Coordenador,Professores participantes,Ano,Membros na equipe,Quantidade de participantes,Parceria com escola?,Tipo de escola,Público alvo,Descrição,Eventos relacionados,Frequência das atividades,Atrelada a alguma disciplina?,Disciplina atrelada,Impacto na comunidade,Artefato produzido
0,2026-05-14 21:50:47.358,Desenvolvimento de artefato tecnológico I - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,MARCEL WILLIAM ROCHA DA SILVA,"Marcelo, Ubiratam e Fellipe",2024,28,28,Não,,Comunidade acadêmica do IM,"Diante da crescente complexidade dos desafios enfrentados pela comunidade acadêmica especialmente no pós-pandemia de coronavírus, a integração de tecnologias emergentes, como a Internet das Coisas (IoT) e sistemas de software inteligentes, busca promover uma mudança significativa na experiência educacional e nas operações administrativas dos campi universitários. Este projeto propõe a criação de um ambiente acadêmico mais moderno e conectado, com foco no desenvolvimento de soluções inovadoras para ""campi inteligentes"" usando prioritariamente o Campus Nova Iguaçu da UFRRJ como ambiente de testes. O projeto visa propiciar um ambiente de desenvolvimento de soluções tecnológicas para que os discentes do curso de Ciência da Computação e áreas afins possam identificar demandas da comunidade acadêmica e possam propor e desenvolver soluções de campus inteligentes visando atender à essas demandas.",Mostra de Inovação Tecnológica em Ciência da Computação: Campus Inteligentes,Evento Único,Sim,AC788 - DESENVOLVIMENTO DE ARTEFATO TECNOLÓGICO I,,https://www.youtube.com/live/pwvo0yvJ-UQ?si=26RmPnFgKASpLtmE
1,2026-05-14 21:56:50.600,Desenvolvimento de artefato tecnológico II - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,MARCEL WILLIAM ROCHA DA SILVA,,2024,26,26,Não,,Comunidade acadêmica do IM,"Diante da crescente complexidade dos desafios enfrentados pela comunidade acadêmica especialmente no pós-pandemia de coronavírus, a integração de tecnologias emergentes, como a Internet das Coisas (IoT) e sistemas de software inteligentes, busca promover uma mudança significativa na experiência educacional e nas operações administrativas dos campi universitários. Este projeto propõe a criação de um ambiente acadêmico mais moderno e conectado, com foco no desenvolvimento de soluções inovadoras para ""campi inteligentes"" usando prioritariamente o Campus Nova Iguaçu da UFRRJ como ambiente de testes. O projeto visa propiciar um ambiente de desenvolvimento de soluções tecnológicas para que os discentes do curso de Ciência da Computação e áreas afins possam identificar demandas da comunidade acadêmica e possam propor e desenvolver soluções de campus inteligentes visando atender à essas demandas.",2ª Mostra de Inovação Tecnológica em Ciência da Computação: Campus Inteligentes,Evento Único,Sim,AC789 - DESENVOLVIMENTO DE ARTEFATO TECNOLÓGICO II,,https://www.youtube.com/live/ZEHJxrRNfpo?si=RTMsdYlNDja5yl6L
2,2026-05-14 21:59:37.653,Introdução à IoT com Arduino,Marcel William Rocha da Silva,,2024,1,20,Não,,Alunos da UFRRJ,"O Arduino é uma plataforma de prototipagem eletrônica de código aberto, amplamente utilizada em aplicações de sistemas embarcados e Internet das Coisas (IoT) devido à sua simplicidade, flexibilidade e baixo custo. Ele permite que desenvolvedores, engenheiros e entusiastas criem rapidamente protótipos funcionais e projetos complexos, desde automação residencial até dispositivos de monitoramento ambiental. Sua comunidade ativa e a vasta quantidade de recursos disponíveis tornam o Arduino uma escolha popular para aprender e inovar no campo da eletrônica e programação.

Neste minicurso introdutório de 10 horas, os participantes serão guiados através dos conceitos fundamentais do Arduino e IoT, incluindo a configuração do ambiente, programação básica, e uso da plataforma para a construção de aplicações IoT. Projetos práticos serão utilizados para ilustrar o processo, preparando os alunos para criar suas próprias aplicações e projetos IoT.",,Semestral,Sim,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I ,,
3,2026-05-19 15:03:26.133,PJ197-2024 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,,2024,49,49,Não,,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense","Este projeto de extensão visa aplicar técnicas de Engenharia de Software para a elicitação e modelagem de sistemas que solucionem problemas reais, sociais ou empresariais. Os alunos do curso de Ciência da Computação atuarão em parceria com pessoas físicas, empresas locais ou instituições governamentais, buscando entender suas demandas e desenhar soluções tecnológicas que otimizem processos, melhorem a gestão de recursos e ampliem o impacto social. 
Foram identificados e modelados 15 soluções tecnológicas, entre sistemas web e aplicativos móveis para diferentes tipos de problemas reais identificados pelos próprios discentes. Alguns exemplos dos problemas abordados neste projeto foram: sistema de controle de estoque para um quiosque/trailer, site para controle e venda de quentinhas, sistema online de apoio à marcação de consultas, sistema para gerenciamento de uma clínica veterinária, sistema para agendamento de serviços em uma barbearia, site para venda de doces, sistema de recomendação para organização de estudos, sistema para gerenciamento de uma oficina mecânica, dentre outros.",,As atividades foram realizadas ao longo do semestre realizadas em 5 etapas.,Sim,TN710 - Engenharia de Software,"Este projeto se mostrou bastante interessante, uma vez que permitiu aos discentes vivenciarem na prática os tópicos abordados na disciplina de Engenharia de Software. O contato com clientes e problemas reais permitiu os discentes analisarem e expandirem seus horizontes. Além disso, os clientes puderam se beneficiar da possibilidade de ter um sistema que apoie seu negócio, permitindo maior produtividade e resultados.","Foram criados artefatos de especificação de requisitos e testes para 15 soluções tecnológicas, mas não foi possível gerar um link para disponibilizá-los."
4,2026-05-19 15:08:29.202,PD037-2025 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,,2025,45,45,Não,,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense","Este projeto de extensão visa aplicar técnicas de Engenharia de Software para a elicitação e modelagem de sistemas que solucionem problemas reais, sociais ou empresariais. Os alunos do curso de Ciência da Computação atuarão em parceria com pessoas físicas, empresas locais ou instituições governamentais, buscando entender suas demandas e desenhar soluções tecnológicas que otimizem processos, melhorem a gestão de recursos e ampliem o impacto social.
Foram identificadas e modeladas 9 soluções tecnológicas, entre sistemas web e aplicativos móveis para diferentes tipos de problemas reais identificados pelos próprios discentes. Alguns exemplos dos problemas abordados neste projeto foram: sistema de apoio a mães para acompanhamento da saúde de seus bebês, aplicativo de apoio a visitas domiciliares por uma assistente social, sistema integrado de controle e saída de ônibus, sistema para auxiliar microempreendedores informais, aplicativos de alertas de enchentes, sistema de gestão de projetos interdisciplinares no ambiente acadêmico, dentre outros.",,As atividades foram realizadas ao longo do semestre realizadas em 6 etapas.,Sim,TN710 - Engenharia de Software,"Este projeto se mostrou bastante interessante, uma vez que permitiu aos discentes vivenciarem na prática os tópicos abordados na disciplina de Engenharia de Software. O contato com clientes e problemas reais permitiu os discentes analisarem e expandirem seus horizontes. Além disso, os clientes puderam se beneficiar da possibilidade de ter um sistema que apoie seu negócio, permitindo maior produtividade e resultados.","Foram criados artefatos de especificação de requisitos e testes para 9 soluções tecnológicas, mas não foi possível gerar um link para disponibilizá-los."
5,2026-05-19 15:15:58.505,PD038-2025 - Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,,2025,10,10,Não,,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense","Este projeto de extensão visa aplicar técnicas de Engenharia de Software para o projeto e desenvolvimento de protótipos de software que solucionem problemas reais, sociais ou empresariais. Este projeto é uma continuação dos resultados entregues na execução do projeto “PJ197-2024 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais”, realizado em 2024.2. 
Os alunos do curso de Ciência da Computação atuarão em parceria com pessoas físicas, empresas locais ou instituições governamentais, buscando entender suas demandas e desenhar soluções tecnológicas que otimizem processos, melhorem a gestão de recursos e ampliem o impacto social.
No âmbito deste projeto, três sistemas foram modelados e parcialmente implementados. Cabe destacar que os discentes já haviam realizado a elicitação de requisitos e iniciado a modelagem inicial desses sistemas em um projeto anterior (AC788 – Desenvolvimento de Artefato Tecnológico I, realizado no período 2024/2). No presente projeto, os requisitos foram revisados, refinados e validados, e a modelagem dos sistemas foi ampliada por meio da incorporação de novos diagramas da UML, o que possibilitou um maior aprofundamento na compreensão das necessidades e expectativas dos clientes. Para viabilizar esse aprofundamento, os discentes mantiveram contato contínuo com os clientes, visando ao esclarecimento de dúvidas e à coleta de informações adicionais. Adicionalmente, o desenvolvimento de protótipos de alta fidelidade contribuiu de forma significativa para o amadurecimento das soluções propostas, além de proporcionar aos discentes uma visão mais concreta e aplicada das técnicas e práticas da Engenharia de Software.",,Semanal,Não,,"De modo geral, o projeto apresentou resultados bastante positivos, uma vez que possibilitou aos discentes uma vivência mais aprofundada e prática dos conteúdos abordados na disciplina de Engenharia de Software. O contato direto com clientes e com problemas reais favoreceu o desenvolvimento de competências analíticas, comunicacionais e técnicas, além de ampliar a compreensão dos discentes acerca do contexto profissional da área. Do ponto de vista dos clientes, o projeto também se mostrou relevante, ao oferecer a perspectiva de desenvolvimento de sistemas capazes de apoiar seus processos e negócios, contribuindo potencialmente para o aumento da produtividade e a melhoria dos resultados.","Foram criados artefatos de especificação de requisitos, projeto e testes para 3 soluções tecnológicas, mas não foi possível gerar um link para disponibilizá-los."
6,2026-05-20 17:45:56.285,C-Ext-2023-1 - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,,2023,64,111,Não,,Alunos da UFRRJ,"O evento C-Ext-2023-1 - Ciclo de Seminários - Computação e seus impactos na Sociedade é um ciclo de seminários com o objetivo de promover a reflexão sobre temas relevantes da área da Computação e suas implicações na sociedade, contribuindo para a formação crítica e consciente dos participantes.",Ciclo de Palestras,Semanal,Sim,Computadores e Sociedade,,
7,2026-05-20 18:13:01.286,C-Ext-2024-1- II - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,,2024,64,90,Não,,Alunos da UFRRJ,"O evento C-Ext-2024-1 - II - Ciclo de Seminários - Computação e seus impactos na Sociedade é um ciclo de seminários com o objetivo de promover a reflexão sobre temas relevantes da área da Computação e suas implicações na sociedade, contribuindo para a formação crítica e consciente dos participantes",Ciclo de Palestras,Semanal,Sim,Computadores e Sociedade,,
8,2026-05-20 18:16:25.310,C-Ext-2025-1 - III - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,,2025,56,81,Não,,Alunos da UFRRJ,"O evento C-Ext-2025-1 - III - Ciclo de Seminários - Computação e seus impactos na Sociedade é um ciclo de seminários com o objetivo de promover a reflexão sobre temas relevantes da área da Computação e suas implicações na sociedade, contribuindo para a formação crítica e consciente dos participantes",Ciclo de Palestras,Semanal,Sim,Computadores e Sociedade,,
9,2026-05-21 14:00:58.677,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,Juliana Zamith,,2025-01,6,103,Não,,qualquer aluno interessado no tema - O Uso de Ferramentas de IA no ambiente universitário,"O projeto teve como objetivo desenvolver um curso voltado para o ensino do uso de ferramentas de Inteligência Artificial (IA) no contexto do ensino universitário. Com o avanço da tecnologia, diversas plataformas de IA vêm sendo utilizadas para otimizar o aprendizado, personalizar o ensino e facilitar o acesso a informações. Este curso apresentou  as principais ferramentas disponíveis e foi um curso prático para capacitar garduandos a utilizarem de forma simples e prática para que estas possam ajudá-los durante o estudo e estadia na universidade.","Curso de 5 dias, 10h.",Evento Único,Não,," O curso foi executado conforme o cronograma, com alta participação e engajamento dos alunos. As aulas combinaram teoria e prática, com destaque para a discussão sobre o uso consciente da IA e a exploração de ferramentas como ChatGPT, MathGPT, Mem.Ai, NotebookLM e Elicit. As contribuições dos professores e alunos enriqueceram as discussões. A avaliação final indicou que os objetivos foram alcançados, promovendo autonomia, conhecimento prático e reflexão ética sobre o uso da IA no ambiente acadêmico. Tiveram participantes de outros estados.",Apenas material do curso.
