Nome,Coordenador,Ano,Participantes,Parceria com escola?,Público alvo,Eventos relacionados,Frequência das atividades,Disciplina atrelada,Impactos,Atividade,Periodo,Atividade_Periodo
Desenvolvimento de artefato tecnológico I - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,Marcel William Rocha da Silva,2024,28,Não,Comunidade acadêmica do IM,Mostra de Inovação Tecnológica em Ciência da Computação: Campus Inteligentes,Evento Único,AC788 - DESENVOLVIMENTO DE ARTEFATO TECNOLÓGICO I,,Desenvolvimento de Artefato Tecnológico I,2024,Desenvolvimento de Artefato Tecnológico I - 2024
Desenvolvimento de artefato tecnológico II - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,Marcel William Rocha da Silva,2024,26,Não,Comunidade acadêmica do IM,2ª Mostra de Inovação Tecnológica em Ciência da Computação: Campus Inteligentes,Evento Único,AC789 - DESENVOLVIMENTO DE ARTEFATO TECNOLÓGICO II,,Desenvolvimento de Artefato Tecnológico II,2024,Desenvolvimento de Artefato Tecnológico II - 2024
Introdução à IoT com Arduino,Marcel William Rocha da Silva,2024,20,Não,Alunos da UFRRJ,,Semestral,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,,Lecionação de Cursos de Extensão I,2024,Lecionação de Cursos de Extensão I - 2024
PJ197-2024 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,2024,49,Não,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense",,As atividades foram realizadas ao longo do semestre realizadas em 5 etapas.,TN710 - Engenharia de Software,"Este projeto se mostrou bastante interessante, uma vez que permitiu aos discentes vivenciarem na prática os tópicos abordados na disciplina de Engenharia de Software. O contato com clientes e problemas reais permitiu os discentes analisarem e expandirem seus horizontes. Além disso, os clientes puderam se beneficiar da possibilidade de ter um sistema que apoie seu negócio, permitindo maior produtividade e resultados.",Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2024,Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais - 2024
PD037-2025 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,2025,45,Não,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense",,As atividades foram realizadas ao longo do semestre realizadas em 6 etapas.,TN710 - Engenharia de Software,"Este projeto se mostrou bastante interessante, uma vez que permitiu aos discentes vivenciarem na prática os tópicos abordados na disciplina de Engenharia de Software. O contato com clientes e problemas reais permitiu os discentes analisarem e expandirem seus horizontes. Além disso, os clientes puderam se beneficiar da possibilidade de ter um sistema que apoie seu negócio, permitindo maior produtividade e resultados.",Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2025,Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais - 2025
PD038-2025 - Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais,Natália Chaves Lessa,2025,10,Não,"Pessoas físicas e microempresários, principalmente da Baixada Fluminense",,Semanal,,"De modo geral, o projeto apresentou resultados bastante positivos, uma vez que possibilitou aos discentes uma vivência mais aprofundada e prática dos conteúdos abordados na disciplina de Engenharia de Software. O contato direto com clientes e com problemas reais favoreceu o desenvolvimento de competências analíticas, comunicacionais e técnicas, além de ampliar a compreensão dos discentes acerca do contexto profissional da área. Do ponto de vista dos clientes, o projeto também se mostrou relevante, ao oferecer a perspectiva de desenvolvimento de sistemas capazes de apoiar seus processos e negócios, contribuindo potencialmente para o aumento da produtividade e a melhoria dos resultados.",Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2025,Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais - 2025
C-Ext-2023-1 - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,2023,111,Não,Alunos da UFRRJ,Ciclo de Palestras,Semanal,Computadores e Sociedade,,Ciclo de Seminários - Computação e seus impactos na Sociedade,2023,Ciclo de Seminários - Computação e seus impactos na Sociedade - 2023
C-Ext-2024-1- II - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,2024,90,Não,Alunos da UFRRJ,Ciclo de Palestras,Semanal,Computadores e Sociedade,,Ciclo de Seminários - Computação e seus impactos na Sociedade,2024,Ciclo de Seminários - Computação e seus impactos na Sociedade - 2024
C-Ext-2025-1 - III - Ciclo de Seminários - Computação e seus impactos na Sociedade,Ligia Maria Soares Passos,2025,81,Não,Alunos da UFRRJ,Ciclo de Palestras,Semanal,Computadores e Sociedade,,Ciclo de Seminários - Computação e seus impactos na Sociedade,2025,Ciclo de Seminários - Computação e seus impactos na Sociedade - 2025
AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,Juliana Zamith,2025-01,103,Não,qualquer aluno interessado no tema - O Uso de Ferramentas de IA no ambiente universitário,"Curso de 5 dias, 10h.",Evento Único,AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,"O curso foi executado conforme o cronograma, com alta participação e engajamento dos alunos. As aulas combinaram teoria e prática, com destaque para a discussão sobre o uso consciente da IA e a exploração de ferramentas como ChatGPT, MathGPT, Mem.Ai, NotebookLM e Elicit. As contribuições dos professores e alunos enriqueceram as discussões. A avaliação final indicou que os objetivos foram alcançados, promovendo autonomia, conhecimento prático e reflexão ética sobre o uso da IA no ambiente acadêmico. Tiveram participantes de outros estados.",Lecionação de Cursos de Extensão I,2025-01,Lecionação de Cursos de Extensão I - 2025-01
