Atividade,Nome,Ano,Participantes
Cursos Aplicados de Programação (2025),Cursos Aplicados de Programação,2025,114
C-Ext-2023-1 - Ciclo de Seminários - Computação e seus impactos na Sociedade (2023),C-Ext-2023-1 - Ciclo de Seminários - Computação e seus impactos na Sociedade,2023,111
AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I (2025-01),AC785 - LECIONAÇÃO DE CURSOS DE EXTENSÃO I,2025-01,103
C-Ext-2024-1- II - Ciclo de Seminários - Computação e seus impactos na Sociedade (2024),C-Ext-2024-1- II - Ciclo de Seminários - Computação e seus impactos na Sociedade,2024,90
C-Ext-2025-1 - III - Ciclo de Seminários - Computação e seus impactos na Sociedade (2025),C-Ext-2025-1 - III - Ciclo de Seminários - Computação e seus impactos na Sociedade,2025,81
PJ197-2024 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais (2024),PJ197-2024 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2024,49
PD037-2025 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais (2025),PD037-2025 - Elicitação e Modelagem de Sistemas de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2025,45
DIVULGAÇÃO E POPULARIZAÇÃO DA CIÊNCIA DA COMPUTAÇÃO (2025-02),DIVULGAÇÃO E POPULARIZAÇÃO DA CIÊNCIA DA COMPUTAÇÃO,2025-02,40
Preparação para Olimpíada Brasileira de Informática de estudantes do ensino médio euniversitários da Baixada Fluminense (2024),Preparação para Olimpíada Brasileira de Informática de estudantes do ensino médio euniversitários da Baixada Fluminense,2024,36
Desenvolvimento de artefato tecnológico I - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias (2024),Desenvolvimento de artefato tecnológico I - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,2024,28
Desenvolvimento de artefato tecnológico II - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias (2024),Desenvolvimento de artefato tecnológico II - Smart Campus: Soluções computacionais inteligentes para comunidades acadêmicas universitárias,2024,26
Introdução à IoT com Arduino (2024),Introdução à IoT com Arduino,2024,20
PD038-2025 - Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais (2025),PD038-2025 - Projeto e Desenvolvimento de Protótipos de Software para Apoiar Soluções de Problemas Sociais e Empresariais,2025,10
Ciência da Computação em Foco (2024-2025),Ciência da Computação em Foco,2024-2025,5
